Name,Province,District,Category,Latitude,Longitude,History,Entry Fee,Best Season,Opening Hours,Image URL
Chitwan National Park,Bagmati,Chitwan,Wildlife/Nature,27.5276,84.2963,Nepal's first NP 1973; royal hunting grounds before conservation; UNESCO WHS 1984.,"NPR 2,000/day (foreigners)",Oct–May,6:00 AM – 6:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Chitwan_National_Park_1.jpg/320px-Chitwan_National_Park_1.jpg
Lumbini,Lumbini,Rupandehi,Religious/Heritage,27.4833,83.2765,Birthplace of Lord Buddha c. 623 BC; Ashoka Pillar erected 249 BC; UNESCO WHS 1997.,NPR 200,Oct–Apr,6:00 AM – 6:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Lumbini_Sacred_Garden.jpg/320px-Lumbini_Sacred_Garden.jpg
Bandipur,Gandaki,Tanahun,Heritage/Hill Station,27.9322,84.4196,Prosperous 18th-19th century Newari trading town; government-protected settlement zone.,Free,Oct–May,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Bandipur_Nepal.jpg/320px-Bandipur_Nepal.jpg
Nagarkot,Bagmati,Bhaktapur,Nature/Viewpoint,27.7153,85.518,"Historic royal retreat at 2,195m; panoramic views of 8 Himalayan ranges including Everest.",Free,Oct–Mar,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Nagarkot_View.jpg/320px-Nagarkot_View.jpg
Gosaikunda Lake,Bagmati,Rasuwa,Religious/Trekking,28.0895,85.416,"Sacred alpine lake at 4,380m; mentioned in Hindu scriptures; linked to Lord Shiva.","Langtang NP Permit NPR 3,000","Aug (Janai Purnima), Sep–Nov",Trek-dependent,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Gosainkunda_Lake.jpg/320px-Gosainkunda_Lake.jpg
Muktinath Temple,Gandaki,Mustang,Religious/Heritage,28.8176,83.8717,"Sacred at 3,800m for Hindus & Buddhists; mentioned in Mahabharata; 108 water spouts.",Free,May–Oct,6:00 AM – 8:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Muktinath_Temple.jpg/320px-Muktinath_Temple.jpg
Rara Lake,Karnali,Mugu,Nature/Lake,29.5231,82.0893,"Nepal's largest lake at 2,990m; Rara NP established 1975; entire village relocated for conservation.","Rara NP Permit NPR 3,000","Apr–Jun, Sep–Nov",All day,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rara_Lake_Nepal.jpg/320px-Rara_Lake_Nepal.jpg
Ilam Tea Gardens,Koshi,Ilam,Nature/Agriculture,26.9108,87.9244,Tea cultivation introduced 1873; largest tea estate in Nepal; premier agri-tourism destination.,Free,"Mar–May, Sep–Nov",Sunrise–Sunset,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ilam_Tea_Garden.jpg/320px-Ilam_Tea_Garden.jpg
Upper Mustang (Lo Manthang),Gandaki,Mustang,Heritage/Adventure,29.18,83.96,Former Kingdom of Lo; closed to outsiders until 1992; Tibetan culture and cave monasteries.,Restricted Area Permit USD 500/10 days,May–Oct,Permit-dependent,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lo_Manthang_Nepal.jpg/320px-Lo_Manthang_Nepal.jpg
Poon Hill,Gandaki,Myagdi,Trekking/Viewpoint,28.3967,83.6992,"Sunrise viewpoint at 3,210m; panoramic Dhaulagiri & Annapurna views; famous short trek stop.","ACAP Permit NPR 3,000","Oct–Dec, Feb–Apr",4:00 AM – 6:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Poon_Hill_sunrise.jpg/320px-Poon_Hill_sunrise.jpg
